container	id	weight	maxWeight	totalWeight	length	width	height	itemTransported
HC40Container	27	4010	28490	27851.987	12.032	2.35	2.7	Bed
Tank20Container	28	3385	32580	17387.353	6.058	2.438	2.591	Milk
Tank20Container	29	3385	32580	28751.805	6.058	2.438	2.591	Milk
Tank20Container	30	3385	32580	16070.217	6.058	2.438	2.591	Water
Reefer20Container	31	2905	27420	7088.54	5.535	2.284	2.224	Steak
Reefer20Container	32	2905	27420	9609.221	5.535	2.284	2.224	Pizza
Tank20Container	33	3385	32580	28429.987	6.058	2.438	2.591	Apple juice
Reefer20Container	34	2905	27420	3252.313	5.535	2.284	2.224	Steak
Tank20Container	35	3385	32580	10848.484	6.058	2.438	2.591	Water
DV20Container	36	2370	28230	19511.55	5.9	2.35	2.395	Shampoo
HC40Container	37	4010	28490	11319.555	12.032	2.35	2.7	Bed
Tank20Container	38	3385	32580	22869.306	6.058	2.438	2.591	Apple juice
HardTop20Container	39	2590	27780	3844.417	5.886	2.342	2.375	Painting
Reefer20Container	40	2905	27420	22141.925	5.535	2.284	2.224	Fries
HC40Container	41	4010	28490	13905.731	12.032	2.35	2.7	Lamp
HC40Container	42	4010	28490	22833.307	12.032	2.35	2.7	Jeans
DV20Container	43	2370	28230	26776.817	5.9	2.35	2.395	Shampoo
DV20Container	44	2370	28230	18334.241	5.9	2.35	2.395	Headphones
HardTop20Container	45	2590	27780	22967.756	5.886	2.342	2.375	Bicycle
HC40Container	46	4010	28490	26938.99	12.032	2.35	2.7	Bed
DV20Container	47	2370	28230	22910.821	5.9	2.35	2.395	Headphones
HardTop20Container	48	2590	27780	13575.107	5.886	2.342	2.375	Laptop
Reefer20Container	49	2905	27420	12471.471	5.535	2.284	2.224	Fries
Reefer20Container	50	2905	27420	15374.39	5.535	2.284	2.224	Steak
HardTop20Container	51	2590	27780	10099.235	5.886	2.342	2.375	Desk
Tank20Container	52	3385	32580	10234.863	6.058	2.438	2.591	Milk
Reefer20Container	53	2905	27420	22550.948	5.535	2.284	2.224	Pizza
Reefer20Container	54	2905	27420	5500.411	5.535	2.284	2.224	Fries
HardTop20Container	55	2590	27780	25976.13	5.886	2.342	2.375	Painting
Reefer20Container	56	2905	27420	3191.312	5.535	2.284	2.224	Steak
HC40Container	57	4010	28490	13435.982	12.032	2.35	2.7	Lamp
Tank20Container	58	3385	32580	3514.814	6.058	2.438	2.591	Milk
Reefer20Container	59	2905	27420	26138.886	5.535	2.284	2.224	Ice Cream
HC40Container	60	4010	28490	17295.202	12.032	2.35	2.7	Flower pot
Reefer20Container	61	2905	27420	8029.249	5.535	2.284	2.224	Pizza
HardTop20Container	62	2590	27780	3284.387	5.886	2.342	2.375	Desk
Reefer20Container	63	2905	27420	26792.774	5.535	2.284	2.224	Ice Cream
Reefer20Container	64	2905	27420	21454.829	5.535	2.284	2.224	Pizza
HardTop20Container	65	2590	27780	4328.301	5.886	2.342	2.375	Desk
HC40Container	66	4010	28490	26856.255	12.032	2.35	2.7	Lamp
Reefer20Container	67	2905	27420	4663.231	5.535	2.284	2.224	Steak
HardTop20Container	68	2590	27780	5634.777	5.886	2.342	2.375	Bicycle
DV20Container	69	2370	28230	13648.205	5.9	2.35	2.395	Shampoo
HC40Container	70	4010	28490	24138.833	12.032	2.35	2.7	Jeans
Tank20Container	71	3385	32580	13739.311	6.058	2.438	2.591	Milk
HC40Container	72	4010	28490	16237.612	12.032	2.35	2.7	Lamp
HardTop20Container	73	2590	27780	14994.575	5.886	2.342	2.375	Bicycle
HardTop20Container	74	2590	27780	25744.436	5.886	2.342	2.375	Desk
Tank20Container	75	3385	32580	22759.989	6.058	2.438	2.591	Milk
DV20Container	76	2370	28230	22983.336	5.9	2.35	2.395	Headphones
Tank20Container	77	3385	32580	20720.168	6.058	2.438	2.591	Oil
HC40Container	78	4010	28490	8683.302	12.032	2.35	2.7	Jeans
HC40Container	79	4010	28490	27070.805	12.032	2.35	2.7	Jeans
Tank20Container	80	3385	32580	12835.379	6.058	2.438	2.591	Milk
HC40Container	81	4010	28490	21801.538	12.032	2.35	2.7	Bed
DV20Container	82	2370	28230	19359.472	5.9	2.35	2.395	Cleaning agent
Tank20Container	83	3385	32580	20097.446	6.058	2.438	2.591	Milk
DV20Container	84	2370	28230	8194.449	5.9	2.35	2.395	TV
Tank20Container	85	3385	32580	26332.596	6.058	2.438	2.591	Water
HC40Container	86	4010	28490	26549.316	12.032	2.35	2.7	Flower pot
HardTop20Container	87	2590	27780	4508.21	5.886	2.342	2.375	Bicycle
Reefer20Container	88	2905	27420	15466.737	5.535	2.284	2.224	Steak
HardTop20Container	89	2590	27780	22406.646	5.886	2.342	2.375	Bicycle
HC40Container	90	4010	28490	13868.723	12.032	2.35	2.7	Bed
HC40Container	91	4010	28490	10386.881	12.032	2.35	2.7	Bed
Reefer20Container	92	2905	27420	7555.706	5.535	2.284	2.224	Pizza
HardTop20Container	93	2590	27780	13931.319	5.886	2.342	2.375	Painting
HC40Container	94	4010	28490	28357.609	12.032	2.35	2.7	Flower pot
HardTop20Container	95	2590	27780	5394.121	5.886	2.342	2.375	Laptop
HC40Container	96	4010	28490	22074.658	12.032	2.35	2.7	Flower pot
Tank20Container	97	3385	32580	31183.41	6.058	2.438	2.591	Apple juice
HardTop20Container	98	2590	27780	11835.056	5.886	2.342	2.375	Desk
Tank20Container	99	3385	32580	17119.286	6.058	2.438	2.591	Milk
DV20Container	100	2370	28230	21397.237	5.9	2.35	2.395	Headphones
DV20Container	101	2370	28230	2517.517	5.9	2.35	2.395	Cleaning agent
Reefer20Container	102	2905	27420	26541.563	5.535	2.284	2.224	Pizza
Tank20Container	103	3385	32580	27108.638	6.058	2.438	2.591	Oil
HardTop20Container	104	2590	27780	20706.942	5.886	2.342	2.375	Bicycle
Tank20Container	105	3385	32580	28770.229	6.058	2.438	2.591	Water
HC40Container	106	4010	28490	23485.861	12.032	2.35	2.7	Flower pot
DV20Container	107	2370	28230	8632.415	5.9	2.35	2.395	Shampoo
DV20Container	108	2370	28230	14586.365	5.9	2.35	2.395	TV
DV20Container	109	2370	28230	10495.422	5.9	2.35	2.395	Shampoo
HardTop20Container	110	2590	27780	15107.359	5.886	2.342	2.375	Desk
Reefer20Container	111	2905	27420	6987.501	5.535	2.284	2.224	Steak
DV20Container	112	2370	28230	23568.678	5.9	2.35	2.395	Shampoo
HC40Container	113	4010	28490	5480.223	12.032	2.35	2.7	Lamp
DV20Container	114	2370	28230	22352.955	5.9	2.35	2.395	Headphones
Tank20Container	115	3385	32580	31745.951	6.058	2.438	2.591	Oil
Reefer20Container	116	2905	27420	18737.688	5.535	2.284	2.224	Fries
DV20Container	117	2370	28230	20643.174	5.9	2.35	2.395	TV
DV20Container	118	2370	28230	9020.807	5.9	2.35	2.395	Headphones
HardTop20Container	119	2590	27780	13243.952	5.886	2.342	2.375	Desk
HC40Container	120	4010	28490	11567.209	12.032	2.35	2.7	Bed
HC40Container	121	4010	28490	21528.725	12.032	2.35	2.7	Flower pot
HC40Container	122	4010	28490	4808.234	12.032	2.35	2.7	Lamp
HC40Container	123	4010	28490	15058.715	12.032	2.35	2.7	Jeans
HC40Container	124	4010	28490	24362.669	12.032	2.35	2.7	Jeans
HC40Container	125	4010	28490	18193.663	12.032	2.35	2.7	Jeans
HC40Container	126	4010	28490	17019.974	12.032	2.35	2.7	Bed
Tank20Container	127	3385	32580	16057.535	6.058	2.438	2.591	Oil
Tank20Container	128	3385	32580	10911.755	6.058	2.438	2.591	Oil
DV20Container	129	2370	28230	25890.573	5.9	2.35	2.395	Cleaning agent
DV20Container	130	2370	28230	10476.234	5.9	2.35	2.395	TV
HC40Container	131	4010	28490	6170.775	12.032	2.35	2.7	Flower pot
Reefer20Container	132	2905	27420	11268.252	5.535	2.284	2.224	Ice Cream
DV20Container	133	2370	28230	23442.31	5.9	2.35	2.395	Cleaning agent
HardTop20Container	134	2590	27780	9088.364	5.886	2.342	2.375	Laptop
HardTop20Container	135	2590	27780	17894.351	5.886	2.342	2.375	Bicycle
HC40Container	136	4010	28490	11272.176	12.032	2.35	2.7	Bed
HardTop20Container	137	2590	27780	17755.8	5.886	2.342	2.375	Desk
Tank20Container	138	3385	32580	4558.758	6.058	2.438	2.591	Oil
Reefer20Container	139	2905	27420	20888.901	5.535	2.284	2.224	Fries
Tank20Container	140	3385	32580	23677.565	6.058	2.438	2.591	Apple juice
HC40Container	141	4010	28490	16963.685	12.032	2.35	2.7	Bed
HC40Container	142	4010	28490	13089.812	12.032	2.35	2.7	Lamp
DV20Container	143	2370	28230	3397.861	5.9	2.35	2.395	TV
Reefer20Container	144	2905	27420	20046.45	5.535	2.284	2.224	Steak
HardTop20Container	145	2590	27780	4338.194	5.886	2.342	2.375	Laptop
HardTop20Container	146	2590	27780	11914.529	5.886	2.342	2.375	Desk
Tank20Container	147	3385	32580	27398.659	6.058	2.438	2.591	Water
HardTop20Container	148	2590	27780	21570.121	5.886	2.342	2.375	Desk
Reefer20Container	149	2905	27420	25013.23	5.535	2.284	2.224	Pizza
DV20Container	150	2370	28230	18380.749	5.9	2.35	2.395	Cleaning agent
DV20Container	151	2370	28230	19063.1	5.9	2.35	2.395	Shampoo
Reefer20Container	152	2905	27420	15752.67	5.535	2.284	2.224	Steak
Tank20Container	153	3385	32580	21920.662	6.058	2.438	2.591	Water
HC40Container	154	4010	28490	25735.691	12.032	2.35	2.7	Jeans
Tank20Container	155	3385	32580	25621.588	6.058	2.438	2.591	Oil
DV20Container	156	2370	28230	11634.554	5.9	2.35	2.395	Headphones
HC40Container	157	4010	28490	6235.521	12.032	2.35	2.7	Bed
Reefer20Container	158	2905	27420	9521.145	5.535	2.284	2.224	Fries
HC40Container	159	4010	28490	12608.257	12.032	2.35	2.7	Lamp
Reefer20Container	160	2905	27420	22052.225	5.535	2.284	2.224	Fries
DV20Container	161	2370	28230	23870.239	5.9	2.35	2.395	Shampoo
Reefer20Container	162	2905	27420	14698.177	5.535	2.284	2.224	Pizza
HardTop20Container	163	2590	27780	21643.366	5.886	2.342	2.375	Bicycle
DV20Container	164	2370	28230	17384.67	5.9	2.35	2.395	Cleaning agent
Tank20Container	165	3385	32580	17615.974	6.058	2.438	2.591	Milk
Tank20Container	166	3385	32580	13818.302	6.058	2.438	2.591	Oil
Tank20Container	167	3385	32580	22862.168	6.058	2.438	2.591	Oil
HardTop20Container	168	2590	27780	23925.135	5.886	2.342	2.375	Painting
HardTop20Container	169	2590	27780	12009.437	5.886	2.342	2.375	Laptop
DV20Container	170	2370	28230	7318.166	5.9	2.35	2.395	Headphones
Reefer20Container	171	2905	27420	15648.955	5.535	2.284	2.224	Steak
HardTop20Container	172	2590	27780	25839.953	5.886	2.342	2.375	Laptop
DV20Container	173	2370	28230	23401.238	5.9	2.35	2.395	Cleaning agent
Tank20Container	174	3385	32580	14669.745	6.058	2.438	2.591	Milk
DV20Container	175	2370	28230	7686.708	5.9	2.35	2.395	Headphones
Reefer20Container	176	2905	27420	17692.492	5.535	2.284	2.224	Pizza
HardTop20Container	177	2590	27780	16976.882	5.886	2.342	2.375	Bicycle
Reefer20Container	178	2905	27420	4403.506	5.535	2.284	2.224	Pizza
Tank20Container	179	3385	32580	19576.344	6.058	2.438	2.591	Water
HardTop20Container	180	2590	27780	4423.092	5.886	2.342	2.375	Laptop
Tank20Container	181	3385	32580	27211.383	6.058	2.438	2.591	Oil
Tank20Container	182	3385	32580	22423.282	6.058	2.438	2.591	Apple juice
HC40Container	183	4010	28490	27550.179	12.032	2.35	2.7	Jeans
Tank20Container	184	3385	32580	3895.256	6.058	2.438	2.591	Milk
Tank20Container	185	3385	32580	4986.599	6.058	2.438	2.591	Water
HC40Container	186	4010	28490	10751.791	12.032	2.35	2.7	Flower pot
HC40Container	187	4010	28490	27230.848	12.032	2.35	2.7	Jeans
Reefer20Container	188	2905	27420	4266.82	5.535	2.284	2.224	Fries
HardTop20Container	189	2590	27780	16840.997	5.886	2.342	2.375	Laptop
Tank20Container	190	3385	32580	20409.433	6.058	2.438	2.591	Oil
Tank20Container	191	3385	32580	15705.905	6.058	2.438	2.591	Milk
HC40Container	192	4010	28490	7507.27	12.032	2.35	2.7	Lamp
Tank20Container	193	3385	32580	31309.894	6.058	2.438	2.591	Water
Reefer20Container	194	2905	27420	5982.554	5.535	2.284	2.224	Pizza
DV20Container	195	2370	28230	25039.019	5.9	2.35	2.395	Shampoo
HC40Container	196	4010	28490	25684.801	12.032	2.35	2.7	Flower pot
DV20Container	197	2370	28230	18021.186	5.9	2.35	2.395	TV
HardTop20Container	198	2590	27780	22062.678	5.886	2.342	2.375	Bicycle
HC40Container	199	4010	28490	24078.318	12.032	2.35	2.7	Jeans
Tank20Container	200	3385	32580	25468.198	6.058	2.438	2.591	Apple juice
HC40Container	201	4010	28490	26263.817	12.032	2.35	2.7	Bed
DV20Container	202	2370	28230	17443.506	5.9	2.35	2.395	Cleaning agent
HC40Container	203	4010	28490	10107.454	12.032	2.35	2.7	Bed
HC40Container	204	4010	28490	5480.418	12.032	2.35	2.7	Jeans
DV20Container	205	2370	28230	14294.373	5.9	2.35	2.395	TV
Tank20Container	206	3385	32580	21063.931	6.058	2.438	2.591	Oil
DV20Container	207	2370	28230	4948.716	5.9	2.35	2.395	Cleaning agent
DV20Container	208	2370	28230	5218.327	5.9	2.35	2.395	TV
DV20Container	209	2370	28230	15401.872	5.9	2.35	2.395	Cleaning agent
Reefer20Container	210	2905	27420	15578.657	5.535	2.284	2.224	Pizza
Reefer20Container	211	2905	27420	7780.766	5.535	2.284	2.224	Steak
Reefer20Container	212	2905	27420	15124.503	5.535	2.284	2.224	Steak
Tank20Container	213	3385	32580	11163.613	6.058	2.438	2.591	Milk
HC40Container	214	4010	28490	19591.192	12.032	2.35	2.7	Bed
DV20Container	215	2370	28230	13028.614	5.9	2.35	2.395	Headphones
HC40Container	216	4010	28490	16670.112	12.032	2.35	2.7	Flower pot
Reefer20Container	217	2905	27420	4895.222	5.535	2.284	2.224	Ice Cream
HC40Container	218	4010	28490	24657.277	12.032	2.35	2.7	Lamp
Reefer20Container	219	2905	27420	11445.065	5.535	2.284	2.224	Ice Cream
HC40Container	220	4010	28490	22819.516	12.032	2.35	2.7	Flower pot
Reefer20Container	221	2905	27420	15175.617	5.535	2.284	2.224	Steak
DV20Container	222	2370	28230	6032.537	5.9	2.35	2.395	Shampoo
HardTop20Container	223	2590	27780	7651.807	5.886	2.342	2.375	Desk
Tank20Container	224	3385	32580	25143.51	6.058	2.438	2.591	Water
Reefer20Container	225	2905	27420	26985.583	5.535	2.284	2.224	Pizza
Reefer20Container	226	2905	27420	6260.227	5.535	2.284	2.224	Fries
Tank20Container	227	3385	32580	4767.938	6.058	2.438	2.591	Milk
Tank20Container	228	3385	32580	23877.178	6.058	2.438	2.591	Oil
Tank20Container	229	3385	32580	6289.868	6.058	2.438	2.591	Water
DV20Container	230	2370	28230	15062.683	5.9	2.35	2.395	Shampoo
DV20Container	231	2370	28230	7593.885	5.9	2.35	2.395	Cleaning agent
HardTop20Container	232	2590	27780	13702.127	5.886	2.342	2.375	Desk
HC40Container	233	4010	28490	19781.865	12.032	2.35	2.7	Flower pot
Reefer20Container	234	2905	27420	15008.886	5.535	2.284	2.224	Fries
Reefer20Container	235	2905	27420	3496.468	5.535	2.284	2.224	Steak
HardTop20Container	236	2590	27780	21389.98	5.886	2.342	2.375	Laptop
HC40Container	237	4010	28490	14810.688	12.032	2.35	2.7	Lamp
DV20Container	238	2370	28230	9054.378	5.9	2.35	2.395	TV
Reefer20Container	239	2905	27420	25439.288	5.535	2.284	2.224	Ice Cream
DV20Container	240	2370	28230	3848.682	5.9	2.35	2.395	TV
DV20Container	241	2370	28230	6616.034	5.9	2.35	2.395	Shampoo
HardTop20Container	242	2590	27780	19732.008	5.886	2.342	2.375	Laptop
HardTop20Container	243	2590	27780	6117.577	5.886	2.342	2.375	Bicycle
HardTop20Container	244	2590	27780	18910.94	5.886	2.342	2.375	Desk
HardTop20Container	245	2590	27780	26742.843	5.886	2.342	2.375	Painting
Tank20Container	246	3385	32580	10118.461	6.058	2.438	2.591	Apple juice
Reefer20Container	247	2905	27420	12553.701	5.535	2.284	2.224	Ice Cream
HardTop20Container	248	2590	27780	2701.392	5.886	2.342	2.375	Painting
Reefer20Container	249	2905	27420	8117.291	5.535	2.284	2.224	Pizza
Reefer20Container	250	2905	27420	23795.416	5.535	2.284	2.224	Fries
Reefer20Container	251	2905	27420	7563.476	5.535	2.284	2.224	Steak
HC40Container	252	4010	28490	11761.279	12.032	2.35	2.7	Bed
HC40Container	253	4010	28490	13477.228	12.032	2.35	2.7	Jeans
Tank20Container	254	3385	32580	24366.519	6.058	2.438	2.591	Apple juice
HC40Container	255	4010	28490	12151.902	12.032	2.35	2.7	Bed
Tank20Container	256	3385	32580	3483.522	6.058	2.438	2.591	Oil
Tank20Container	257	3385	32580	15803.708	6.058	2.438	2.591	Water
Tank20Container	258	3385	32580	14366.349	6.058	2.438	2.591	Apple juice
Reefer20Container	259	2905	27420	25942.367	5.535	2.284	2.224	Fries
Tank20Container	260	3385	32580	31679.726	6.058	2.438	2.591	Water
DV20Container	261	2370	28230	25454.551	5.9	2.35	2.395	Cleaning agent
HC40Container	262	4010	28490	24571.151	12.032	2.35	2.7	Bed
DV20Container	263	2370	28230	26048.22	5.9	2.35	2.395	TV
DV20Container	264	2370	28230	24506.825	5.9	2.35	2.395	Cleaning agent
Reefer20Container	265	2905	27420	18893.627	5.535	2.284	2.224	Steak
Reefer20Container	266	2905	27420	16319.636	5.535	2.284	2.224	Ice Cream
Tank20Container	267	3385	32580	27937.409	6.058	2.438	2.591	Oil
Tank20Container	268	3385	32580	29599.269	6.058	2.438	2.591	Apple juice
Reefer20Container	269	2905	27420	17618.08	5.535	2.284	2.224	Pizza
HC40Container	270	4010	28490	20541.272	12.032	2.35	2.7	Bed
Tank20Container	271	3385	32580	27976.443	6.058	2.438	2.591	Oil
HC40Container	272	4010	28490	6737.088	12.032	2.35	2.7	Flower pot
HC40Container	273	4010	28490	20933.671	12.032	2.35	2.7	Bed
Tank20Container	274	3385	32580	10037.314	6.058	2.438	2.591	Water
Tank20Container	275	3385	32580	6801.102	6.058	2.438	2.591	Water
Reefer20Container	276	2905	27420	14273.996	5.535	2.284	2.224	Ice Cream
HC40Container	277	4010	28490	10252.015	12.032	2.35	2.7	Lamp
Tank20Container	278	3385	32580	16934.039	6.058	2.438	2.591	Water
DV20Container	279	2370	28230	13746.405	5.9	2.35	2.395	Cleaning agent
DV20Container	280	2370	28230	11353.775	5.9	2.35	2.395	Shampoo
HC40Container	281	4010	28490	13529.242	12.032	2.35	2.7	Flower pot
DV20Container	282	2370	28230	20471.508	5.9	2.35	2.395	Cleaning agent
Reefer20Container	283	2905	27420	6795.194	5.535	2.284	2.224	Ice Cream
DV20Container	284	2370	28230	6513.125	5.9	2.35	2.395	Shampoo
Reefer20Container	285	2905	27420	3877.228	5.535	2.284	2.224	Steak
Tank20Container	286	3385	32580	10568.153	6.058	2.438	2.591	Oil
Tank20Container	287	3385	32580	29553.687	6.058	2.438	2.591	Water
HC40Container	288	4010	28490	5027.6	12.032	2.35	2.7	Bed
Reefer20Container	289	2905	27420	8589.013	5.535	2.284	2.224	Pizza
HardTop20Container	290	2590	27780	9202.514	5.886	2.342	2.375	Painting
Reefer20Container	291	2905	27420	13282.327	5.535	2.284	2.224	Ice Cream
Tank20Container	292	3385	32580	28097.106	6.058	2.438	2.591	Milk
HardTop20Container	293	2590	27780	22487.401	5.886	2.342	2.375	Painting
DV20Container	294	2370	28230	18169.946	5.9	2.35	2.395	Headphones
Reefer20Container	295	2905	27420	25826.877	5.535	2.284	2.224	Fries
HC40Container	296	4010	28490	10214.271	12.032	2.35	2.7	Jeans
HC40Container	297	4010	28490	23938.55	12.032	2.35	2.7	Flower pot
DV20Container	298	2370	28230	11691.279	5.9	2.35	2.395	TV
HardTop20Container	299	2590	27780	9574.434	5.886	2.342	2.375	Bicycle
Reefer20Container	300	2905	27420	15091.282	5.535	2.284	2.224	Pizza
DV20Container	301	2370	28230	5390.539	5.9	2.35	2.395	Headphones
HC40Container	302	4010	28490	15418.626	12.032	2.35	2.7	Bed
DV20Container	303	2370	28230	15254.02	5.9	2.35	2.395	Cleaning agent
HC40Container	304	4010	28490	18481.215	12.032	2.35	2.7	Jeans
Tank20Container	305	3385	32580	26833.645	6.058	2.438	2.591	Water
DV20Container	306	2370	28230	9621.473	5.9	2.35	2.395	Shampoo
DV20Container	307	2370	28230	14629.964	5.9	2.35	2.395	Headphones
Tank20Container	308	3385	32580	5321.033	6.058	2.438	2.591	Oil
Reefer20Container	309	2905	27420	7535.563	5.535	2.284	2.224	Steak
HardTop20Container	310	2590	27780	27293.508	5.886	2.342	2.375	Laptop
HC40Container	311	4010	28490	10255.845	12.032	2.35	2.7	Jeans
HardTop20Container	312	2590	27780	7246.908	5.886	2.342	2.375	Desk
Tank20Container	313	3385	32580	11805.243	6.058	2.438	2.591	Water
Reefer20Container	314	2905	27420	20008.337	5.535	2.284	2.224	Fries
Reefer20Container	315	2905	27420	8031.029	5.535	2.284	2.224	Steak
DV20Container	316	2370	28230	10486.589	5.9	2.35	2.395	TV
Reefer20Container	317	2905	27420	7259.433	5.535	2.284	2.224	Ice Cream
Reefer20Container	318	2905	27420	5839.893	5.535	2.284	2.224	Pizza
HardTop20Container	319	2590	27780	2617.084	5.886	2.342	2.375	Desk
Reefer20Container	320	2905	27420	18593.038	5.535	2.284	2.224	Pizza
HC40Container	321	4010	28490	19619.91	12.032	2.35	2.7	Bed
Reefer20Container	322	2905	27420	17861.008	5.535	2.284	2.224	Fries
HardTop20Container	323	2590	27780	26326.472	5.886	2.342	2.375	Desk
HardTop20Container	324	2590	27780	19991.177	5.886	2.342	2.375	Painting
Tank20Container	325	3385	32580	21504.033	6.058	2.438	2.591	Oil
Reefer20Container	326	2905	27420	13307.63	5.535	2.284	2.224	Fries
Reefer20Container	327	2905	27420	9383.591	5.535	2.284	2.224	Ice Cream
HC40Container	328	4010	28490	8710.654	12.032	2.35	2.7	Bed
Reefer20Container	329	2905	27420	8853.157	5.535	2.284	2.224	Ice Cream
DV20Container	330	2370	28230	13849.242	5.9	2.35	2.395	TV
DV20Container	331	2370	28230	13509.04	5.9	2.35	2.395	Shampoo
HardTop20Container	332	2590	27780	18520.428	5.886	2.342	2.375	Desk
DV20Container	333	2370	28230	7702.603	5.9	2.35	2.395	Cleaning agent
Tank20Container	334	3385	32580	31164.539	6.058	2.438	2.591	Milk
Tank20Container	335	3385	32580	23433.546	6.058	2.438	2.591	Water
HardTop20Container	336	2590	27780	16124.305	5.886	2.342	2.375	Desk
HardTop20Container	337	2590	27780	22271.522	5.886	2.342	2.375	Painting
Tank20Container	338	3385	32580	14091.7	6.058	2.438	2.591	Oil
DV20Container	339	2370	28230	19485.779	5.9	2.35	2.395	TV
HC40Container	340	4010	28490	24969.681	12.032	2.35	2.7	Jeans
Tank20Container	341	3385	32580	24796.297	6.058	2.438	2.591	Milk
HC40Container	342	4010	28490	17027.789	12.032	2.35	2.7	Lamp
HC40Container	343	4010	28490	28375.331	12.032	2.35	2.7	Bed
HardTop20Container	344	2590	27780	4102.212	5.886	2.342	2.375	Desk
Tank20Container	345	3385	32580	28972.813	6.058	2.438	2.591	Milk
Reefer20Container	346	2905	27420	5176.471	5.535	2.284	2.224	Steak
HC40Container	347	4010	28490	19410.794	12.032	2.35	2.7	Flower pot
DV20Container	348	2370	28230	15619.245	5.9	2.35	2.395	Shampoo
Tank20Container	349	3385	32580	10713.811	6.058	2.438	2.591	Water
HC40Container	350	4010	28490	22504.971	12.032	2.35	2.7	Bed
Reefer20Container	351	2905	27420	18347.591	5.535	2.284	2.224	Ice Cream
DV20Container	352	2370	28230	13502.268	5.9	2.35	2.395	TV
Tank20Container	353	3385	32580	11526.694	6.058	2.438	2.591	Milk
DV20Container	354	2370	28230	20855.613	5.9	2.35	2.395	Cleaning agent
DV20Container	355	2370	28230	6027.268	5.9	2.35	2.395	Headphones
HC40Container	356	4010	28490	10975.337	12.032	2.35	2.7	Flower pot
Reefer20Container	357	2905	27420	18355.641	5.535	2.284	2.224	Pizza
Tank20Container	358	3385	32580	13548.643	6.058	2.438	2.591	Water
HardTop20Container	359	2590	27780	11267.929	5.886	2.342	2.375	Laptop
HC40Container	360	4010	28490	23482.951	12.032	2.35	2.7	Flower pot
Reefer20Container	361	2905	27420	26315.144	5.535	2.284	2.224	Pizza
HardTop20Container	362	2590	27780	11422.283	5.886	2.342	2.375	Painting
HardTop20Container	363	2590	27780	5303.963	5.886	2.342	2.375	Painting
HardTop20Container	364	2590	27780	22454.873	5.886	2.342	2.375	Bicycle
Tank20Container	365	3385	32580	5541.713	6.058	2.438	2.591	Apple juice
Tank20Container	366	3385	32580	28024.515	6.058	2.438	2.591	Apple juice
DV20Container	367	2370	28230	11367.538	5.9	2.35	2.395	TV
HC40Container	368	4010	28490	4855.494	12.032	2.35	2.7	Flower pot
Tank20Container	369	3385	32580	24010.409	6.058	2.438	2.591	Oil
Tank20Container	370	3385	32580	21907.854	6.058	2.438	2.591	Oil
HC40Container	371	4010	28490	28200.811	12.032	2.35	2.7	Jeans
Tank20Container	372	3385	32580	28692.136	6.058	2.438	2.591	Oil
HC40Container	373	4010	28490	11765.86	12.032	2.35	2.7	Jeans
DV20Container	374	2370	28230	20971.906	5.9	2.35	2.395	TV
HardTop20Container	375	2590	27780	22764.041	5.886	2.342	2.375	Laptop
Tank20Container	376	3385	32580	26866.321	6.058	2.438	2.591	Milk
HC40Container	377	4010	28490	8970.122	12.032	2.35	2.7	Flower pot
